Complaint_ID,Category,Area,Priority,Status,Filing_Date,Resolution_Date,Delay_Days
CMPL-19567,Street Light,Golghar,High,Resolved,2024-09-27,2024-10-05,8.0
CMPL-19568,Road Construction,Mohaddipur,Low,In-Progress,2024-07-23,,
CMPL-19569,Sewerage,Basharatpur,High,Resolved,2025-08-24,2025-10-10,47.0
CMPL-19570,Street Light,Civil Lines,Low,Pending,2025-01-25,,
CMPL-19571,Sewerage,Civil Lines,Low,Resolved,2024-12-08,2024-12-22,14.0
CMPL-19572,Garbage Collection,Golghar,Low,Resolved,2025-03-16,2025-05-15,60.0
CMPL-19573,Water Supply,Indra Nagar,High,In-Progress,2025-01-31,,
CMPL-19574,Street Light,Golghar,High,In-Progress,2024-09-16,,
CMPL-19575,Sewerage,Golghar,Low,In-Progress,2024-08-22,,
CMPL-19576,Street Light,Mohaddipur,Medium,In-Progress,2024-09-27,,
CMPL-19577,Street Light,Basharatpur,High,Pending,2026-01-13,,
CMPL-19578,Water Supply,Civil Lines,Low,In-Progress,2025-01-05,,
CMPL-19579,Water Supply,Golghar,Medium,Resolved,2025-01-24,2025-03-05,40.0
CMPL-19580,Sewerage,Golghar,High,Pending,2024-09-11,,
CMPL-19581,Sewerage,Golghar,Low,Pending,2025-01-10,,
CMPL-19582,Sewerage,Civil Lines,High,Resolved,2025-10-08,2025-10-28,20.0
CMPL-19583,Water Supply,Civil Lines,High,Pending,2024-11-08,,
CMPL-19584,Sewerage,Mohaddipur,Low,In-Progress,2024-11-10,,
CMPL-19585,Sewerage,Golghar,Medium,In-Progress,2024-08-25,,
CMPL-19586,Road Construction,Golghar,Medium,Pending,2026-03-18,,
CMPL-19587,Sewerage,Indra Nagar,High,Resolved,2026-02-09,2026-03-30,49.0
CMPL-19588,Road Construction,Golghar,Low,Pending,2024-11-26,,
CMPL-19589,Water Supply,Basharatpur,Low,Pending,2025-10-03,,
CMPL-19590,Street Light,Basharatpur,High,Pending,2025-10-07,,
CMPL-19591,Garbage Collection,Golghar,High,Pending,2026-04-20,,
CMPL-19592,Water Supply,Golghar,Low,Pending,2024-04-20,,
CMPL-19593,Road Construction,Golghar,Medium,Resolved,2025-02-09,2025-03-22,41.0
CMPL-19594,Sewerage,Mohaddipur,Low,Pending,2025-04-14,,
CMPL-19595,Garbage Collection,Basharatpur,High,In-Progress,2024-07-15,,
CMPL-19596,Road Construction,Golghar,Medium,Pending,2025-09-18,,
CMPL-19597,Garbage Collection,Basharatpur,Medium,In-Progress,2024-10-22,,
CMPL-19598,Road Construction,Golghar,Medium,Resolved,2024-05-25,2024-07-11,47.0
CMPL-19599,Garbage Collection,Civil Lines,Medium,Resolved,2025-02-10,2025-03-22,40.0
CMPL-19600,Road Construction,Civil Lines,High,Pending,2024-09-27,,
CMPL-19601,Sewerage,Indra Nagar,Medium,Resolved,2024-05-22,2024-06-01,10.0
CMPL-19602,Sewerage,Golghar,High,In-Progress,2024-05-23,,
CMPL-19603,Sewerage,Indra Nagar,Medium,In-Progress,2024-06-13,,
CMPL-19604,Water Supply,Basharatpur,Medium,In-Progress,2024-07-22,,
CMPL-19605,Street Light,Civil Lines,High,Pending,2025-12-28,,
CMPL-19606,Street Light,Mohaddipur,Low,In-Progress,2025-03-09,,
CMPL-19607,Street Light,Golghar,High,Pending,2025-07-17,,
CMPL-19608,Water Supply,Civil Lines,High,In-Progress,2024-05-03,,
CMPL-19609,Water Supply,Basharatpur,Medium,In-Progress,2024-10-18,,
CMPL-19610,Street Light,Basharatpur,High,Resolved,2025-05-18,2025-05-28,10.0
CMPL-19611,Water Supply,Basharatpur,High,Resolved,2025-01-09,2025-01-15,6.0
CMPL-19612,Street Light,Golghar,Low,In-Progress,2025-01-30,,
CMPL-19613,Garbage Collection,Indra Nagar,Low,Pending,2024-08-02,,
CMPL-19614,Street Light,Basharatpur,Medium,Resolved,2024-12-09,2024-12-10,1.0
CMPL-19615,Water Supply,Civil Lines,High,In-Progress,2025-05-09,,
CMPL-19616,Street Light,Basharatpur,Low,Pending,2024-09-23,,
CMPL-19617,Water Supply,Golghar,Low,In-Progress,2025-06-02,,
CMPL-19618,Garbage Collection,Civil Lines,Low,Resolved,2025-03-16,2025-04-14,29.0
CMPL-19619,Street Light,Civil Lines,High,Resolved,2025-03-16,2025-03-28,12.0
CMPL-19620,Street Light,Civil Lines,High,Pending,2025-12-29,,
CMPL-19621,Water Supply,Mohaddipur,Medium,Resolved,2024-09-04,2024-09-23,19.0
CMPL-19622,Road Construction,Mohaddipur,Medium,Resolved,2024-05-26,2024-08-22,88.0
CMPL-19623,Street Light,Golghar,Medium,In-Progress,2024-08-25,,
CMPL-19624,Water Supply,Mohaddipur,High,In-Progress,2024-10-09,,
CMPL-19625,Sewerage,Basharatpur,Low,Pending,2024-07-02,,
CMPL-19626,Garbage Collection,Basharatpur,Medium,Resolved,2024-07-06,2024-08-01,26.0
CMPL-19627,Water Supply,Civil Lines,Medium,Resolved,2025-10-29,2025-11-03,5.0
CMPL-19628,Sewerage,Civil Lines,Low,Pending,2026-04-17,,
CMPL-19629,Sewerage,Basharatpur,High,Resolved,2025-11-18,2026-01-03,46.0
CMPL-19630,Street Light,Golghar,Medium,In-Progress,2026-01-18,,
CMPL-19631,Road Construction,Golghar,Low,In-Progress,2025-05-27,,
CMPL-19632,Sewerage,Basharatpur,Low,Resolved,2025-07-04,2025-08-12,39.0
CMPL-19633,Sewerage,Golghar,High,Resolved,2024-12-01,2025-01-20,50.0
CMPL-19634,Street Light,Civil Lines,High,Pending,2024-05-11,,
CMPL-19635,Garbage Collection,Indra Nagar,Low,Pending,2026-02-21,,
CMPL-19636,Road Construction,Indra Nagar,Medium,Pending,2025-02-23,,
CMPL-19637,Road Construction,Basharatpur,Low,Resolved,2024-09-10,2024-10-12,32.0
CMPL-19638,Water Supply,Golghar,High,In-Progress,2026-02-03,,
CMPL-19639,Sewerage,Civil Lines,Medium,In-Progress,2025-04-06,,
CMPL-19640,Street Light,Mohaddipur,Medium,In-Progress,2025-01-20,,
CMPL-19641,Sewerage,Basharatpur,High,Pending,2025-01-31,,
CMPL-19642,Street Light,Civil Lines,High,Resolved,2025-05-27,2025-06-06,10.0
CMPL-19643,Garbage Collection,Mohaddipur,High,Resolved,2025-02-17,2025-02-23,6.0
CMPL-19644,Garbage Collection,Civil Lines,Low,Resolved,2025-08-29,2025-09-29,31.0
CMPL-19645,Sewerage,Indra Nagar,High,Pending,2025-09-01,,
CMPL-19646,Sewerage,Indra Nagar,High,In-Progress,2025-12-29,,
CMPL-19647,Water Supply,Civil Lines,Medium,In-Progress,2024-09-22,,
CMPL-19648,Sewerage,Mohaddipur,High,Resolved,2025-01-27,2025-03-05,37.0
CMPL-19649,Sewerage,Civil Lines,High,In-Progress,2025-11-09,,
CMPL-19650,Street Light,Golghar,Low,Pending,2025-05-21,,
CMPL-19651,Garbage Collection,Golghar,Low,In-Progress,2025-05-05,,
CMPL-19652,Water Supply,Golghar,Low,In-Progress,2025-07-28,,
CMPL-19653,Road Construction,Golghar,Low,Pending,2025-09-19,,
CMPL-19654,Road Construction,Indra Nagar,Low,Resolved,2025-03-25,2025-05-06,42.0
CMPL-19655,Garbage Collection,Mohaddipur,High,In-Progress,2025-12-31,,
CMPL-19656,Garbage Collection,Civil Lines,Low,Resolved,2025-08-20,2025-10-01,42.0
CMPL-19657,Water Supply,Civil Lines,Medium,Resolved,2025-03-08,2025-03-21,13.0
CMPL-19658,Garbage Collection,Mohaddipur,High,Resolved,2024-11-21,2024-12-06,15.0
CMPL-19659,Road Construction,Mohaddipur,Low,In-Progress,2025-06-19,,
CMPL-19660,Road Construction,Basharatpur,Medium,Resolved,2025-05-17,2025-08-08,83.0
CMPL-19661,Street Light,Civil Lines,High,In-Progress,2025-06-05,,
CMPL-19662,Garbage Collection,Indra Nagar,Low,In-Progress,2026-03-09,,
CMPL-19663,Water Supply,Mohaddipur,High,Pending,2025-06-22,,
CMPL-19664,Water Supply,Mohaddipur,Low,In-Progress,2025-02-14,,
CMPL-19665,Sewerage,Mohaddipur,High,Pending,2025-06-28,,
CMPL-19666,Sewerage,Mohaddipur,Medium,Resolved,2024-06-25,2024-08-06,42.0
CMPL-19667,Street Light,Indra Nagar,High,In-Progress,2024-11-24,,
CMPL-19668,Road Construction,Golghar,High,Pending,2025-06-24,,
CMPL-19669,Sewerage,Mohaddipur,High,In-Progress,2026-04-02,,
CMPL-19670,Road Construction,Indra Nagar,High,Pending,2025-12-23,,
CMPL-19671,Sewerage,Mohaddipur,High,Pending,2025-04-29,,
CMPL-19672,Street Light,Basharatpur,Low,Resolved,2025-08-29,2025-08-31,2.0
CMPL-19673,Sewerage,Basharatpur,Low,In-Progress,2025-12-18,,
CMPL-19674,Water Supply,Civil Lines,High,In-Progress,2025-12-11,,
CMPL-19675,Water Supply,Golghar,Low,Resolved,2025-02-09,2025-02-23,14.0
CMPL-19676,Street Light,Indra Nagar,High,Resolved,2026-02-28,2026-03-06,6.0
CMPL-19677,Garbage Collection,Basharatpur,High,Pending,2025-04-17,,
CMPL-19678,Garbage Collection,Indra Nagar,Low,Pending,2024-07-10,,
CMPL-19679,Water Supply,Mohaddipur,Medium,Resolved,2025-03-29,2025-04-11,13.0
CMPL-19680,Garbage Collection,Indra Nagar,Low,Pending,2025-06-29,,
CMPL-19681,Road Construction,Civil Lines,Low,In-Progress,2025-08-01,,
CMPL-19682,Garbage Collection,Civil Lines,High,Resolved,2024-12-28,2025-02-19,53.0
CMPL-19683,Street Light,Civil Lines,Low,In-Progress,2025-03-02,,
CMPL-19684,Road Construction,Indra Nagar,Medium,In-Progress,2024-07-17,,
CMPL-19685,Sewerage,Civil Lines,Low,In-Progress,2025-04-08,,
CMPL-19686,Water Supply,Basharatpur,Medium,In-Progress,2024-06-19,,
CMPL-19687,Street Light,Mohaddipur,Medium,Resolved,2025-03-19,2025-04-03,15.0
CMPL-19688,Garbage Collection,Golghar,Medium,Resolved,2025-04-26,2025-05-04,8.0
CMPL-19689,Road Construction,Indra Nagar,High,Resolved,2026-03-26,2026-06-17,83.0
CMPL-19690,Road Construction,Golghar,High,Resolved,2026-04-01,2026-09-12,164.0
CMPL-19691,Street Light,Mohaddipur,High,Resolved,2025-02-23,2025-03-03,8.0
CMPL-19692,Water Supply,Mohaddipur,High,Pending,2024-05-02,,
CMPL-19693,Garbage Collection,Mohaddipur,Medium,Resolved,2025-12-25,2026-01-28,34.0
CMPL-19694,Water Supply,Basharatpur,Low,In-Progress,2026-03-03,,
CMPL-19695,Sewerage,Indra Nagar,Medium,In-Progress,2025-06-22,,
CMPL-19696,Road Construction,Golghar,Medium,Resolved,2025-10-02,2026-03-17,166.0
CMPL-19697,Street Light,Basharatpur,Medium,In-Progress,2025-12-05,,
CMPL-19698,Road Construction,Golghar,High,Resolved,2025-07-16,2025-11-05,112.0
CMPL-19699,Sewerage,Basharatpur,High,Resolved,2024-05-26,2024-06-26,31.0
CMPL-19700,Street Light,Indra Nagar,Low,In-Progress,2025-06-04,,
CMPL-19701,Garbage Collection,Mohaddipur,Low,In-Progress,2025-04-15,,
CMPL-19702,Sewerage,Basharatpur,High,Resolved,2025-02-16,2025-02-28,12.0
CMPL-19703,Road Construction,Basharatpur,Medium,In-Progress,2025-01-22,,
CMPL-19704,Garbage Collection,Indra Nagar,Low,In-Progress,2025-05-23,,
CMPL-19705,Water Supply,Golghar,Low,In-Progress,2025-04-23,,
CMPL-19706,Street Light,Mohaddipur,Medium,In-Progress,2025-02-18,,
CMPL-19707,Road Construction,Indra Nagar,Medium,Pending,2026-04-18,,
CMPL-19708,Street Light,Basharatpur,Low,In-Progress,2025-01-14,,
CMPL-19709,Water Supply,Civil Lines,High,Resolved,2026-01-10,2026-02-07,28.0
CMPL-19710,Water Supply,Civil Lines,Low,In-Progress,2024-04-29,,
CMPL-19711,Street Light,Civil Lines,Low,In-Progress,2026-03-02,,
CMPL-19712,Water Supply,Golghar,Low,Pending,2024-09-12,,
CMPL-19713,Garbage Collection,Basharatpur,High,In-Progress,2025-04-29,,
CMPL-19714,Street Light,Civil Lines,High,Pending,2025-04-06,,
CMPL-19715,Street Light,Basharatpur,High,Pending,2025-04-13,,
CMPL-19716,Road Construction,Basharatpur,Medium,Resolved,2024-05-29,2024-10-09,133.0
CMPL-19717,Street Light,Indra Nagar,High,In-Progress,2025-12-08,,
CMPL-19718,Street Light,Indra Nagar,Low,Pending,2025-07-28,,
CMPL-19719,Road Construction,Golghar,Medium,In-Progress,2025-12-02,,
CMPL-19720,Water Supply,Mohaddipur,Low,In-Progress,2024-08-25,,
CMPL-19721,Road Construction,Basharatpur,Medium,Resolved,2025-02-06,2025-05-08,91.0
CMPL-19722,Road Construction,Indra Nagar,High,In-Progress,2025-07-24,,
CMPL-19723,Sewerage,Civil Lines,Low,In-Progress,2024-09-20,,
CMPL-19724,Water Supply,Basharatpur,High,Pending,2025-05-09,,
CMPL-19725,Sewerage,Civil Lines,Low,In-Progress,2024-11-07,,
CMPL-19726,Sewerage,Indra Nagar,High,Resolved,2025-06-02,2025-06-12,10.0
CMPL-19727,Road Construction,Basharatpur,Low,Resolved,2025-10-20,2026-01-12,84.0
CMPL-19728,Street Light,Indra Nagar,Low,Resolved,2025-08-22,2025-08-27,5.0
CMPL-19729,Water Supply,Civil Lines,Medium,In-Progress,2025-06-16,,
CMPL-19730,Road Construction,Golghar,Low,Resolved,2024-05-27,2024-08-24,89.0
CMPL-19731,Garbage Collection,Civil Lines,Medium,Pending,2025-02-17,,
CMPL-19732,Garbage Collection,Mohaddipur,Low,Resolved,2024-06-15,2024-07-13,28.0
CMPL-19733,Street Light,Golghar,Low,Resolved,2024-06-05,2024-06-20,15.0
CMPL-19734,Sewerage,Civil Lines,Low,Pending,2026-03-21,,
CMPL-19735,Sewerage,Golghar,Low,Pending,2025-03-23,,
CMPL-19736,Water Supply,Golghar,Medium,In-Progress,2025-04-25,,
CMPL-19737,Road Construction,Basharatpur,Medium,In-Progress,2024-11-10,,
CMPL-19738,Water Supply,Civil Lines,High,Resolved,2024-11-29,2025-01-07,39.0
CMPL-19739,Street Light,Basharatpur,High,Pending,2025-01-22,,
CMPL-19740,Street Light,Mohaddipur,Medium,Pending,2025-09-27,,
CMPL-19741,Sewerage,Golghar,High,In-Progress,2025-10-24,,
CMPL-19742,Sewerage,Golghar,High,Resolved,2025-10-26,2025-11-20,25.0
CMPL-19743,Water Supply,Indra Nagar,Low,In-Progress,2025-06-10,,
CMPL-19744,Street Light,Golghar,Medium,Resolved,2024-07-27,2024-07-28,1.0
CMPL-19745,Garbage Collection,Mohaddipur,Low,In-Progress,2024-05-30,,
CMPL-19746,Street Light,Civil Lines,Low,Pending,2025-11-22,,
CMPL-19747,Street Light,Basharatpur,Low,Pending,2025-09-06,,
CMPL-19748,Garbage Collection,Civil Lines,Medium,In-Progress,2024-09-07,,
CMPL-19749,Sewerage,Civil Lines,High,Resolved,2025-04-13,2025-04-25,12.0
CMPL-19750,Garbage Collection,Indra Nagar,High,Resolved,2025-07-07,2025-07-27,20.0
CMPL-19751,Garbage Collection,Basharatpur,High,In-Progress,2024-08-29,,
CMPL-19752,Road Construction,Civil Lines,Low,In-Progress,2025-04-29,,
CMPL-19753,Sewerage,Golghar,Medium,In-Progress,2024-11-28,,
CMPL-19754,Water Supply,Basharatpur,Medium,In-Progress,2025-07-02,,
CMPL-19755,Sewerage,Basharatpur,High,Resolved,2024-06-01,2024-07-14,43.0
CMPL-19756,Water Supply,Indra Nagar,Medium,Resolved,2026-04-15,2026-06-04,50.0
CMPL-19757,Garbage Collection,Basharatpur,Medium,Pending,2025-03-11,,
CMPL-19758,Garbage Collection,Mohaddipur,High,Resolved,2025-08-02,2025-09-29,58.0
CMPL-19759,Sewerage,Civil Lines,Low,Pending,2025-12-23,,
CMPL-19760,Sewerage,Golghar,Medium,In-Progress,2025-08-25,,
CMPL-19761,Road Construction,Golghar,Low,Resolved,2026-01-18,2026-03-22,63.0
CMPL-19762,Water Supply,Basharatpur,Medium,In-Progress,2025-02-14,,
CMPL-19763,Water Supply,Civil Lines,Medium,Pending,2025-02-18,,
CMPL-19764,Street Light,Golghar,Medium,In-Progress,2024-08-10,,
CMPL-19765,Garbage Collection,Civil Lines,High,Pending,2025-10-27,,
CMPL-19766,Road Construction,Civil Lines,Low,In-Progress,2024-10-05,,
CMPL-19767,Road Construction,Golghar,Medium,Pending,2026-03-28,,
CMPL-19768,Road Construction,Basharatpur,Medium,Pending,2026-02-25,,
CMPL-19769,Garbage Collection,Civil Lines,High,Resolved,2024-09-29,2024-10-19,20.0
CMPL-19770,Garbage Collection,Basharatpur,Low,Resolved,2025-09-12,2025-09-28,16.0
CMPL-19771,Street Light,Basharatpur,Medium,In-Progress,2024-05-05,,
CMPL-19772,Sewerage,Civil Lines,Low,Pending,2026-03-12,,
CMPL-19773,Sewerage,Mohaddipur,High,Resolved,2024-05-16,2024-07-13,58.0
CMPL-19774,Street Light,Golghar,High,Pending,2025-06-19,,
CMPL-19775,Street Light,Civil Lines,Medium,In-Progress,2024-05-30,,
CMPL-19776,Sewerage,Basharatpur,Low,Resolved,2025-12-28,2026-02-14,48.0
CMPL-19777,Street Light,Mohaddipur,High,Resolved,2024-07-28,2024-08-01,4.0
CMPL-19778,Water Supply,Basharatpur,High,Resolved,2026-04-06,2026-06-01,56.0
CMPL-19779,Garbage Collection,Basharatpur,High,Resolved,2024-07-18,2024-07-25,7.0
CMPL-19780,Street Light,Golghar,Low,Resolved,2025-12-26,2026-01-08,13.0
CMPL-19781,Road Construction,Indra Nagar,High,Pending,2025-07-31,,
CMPL-19782,Garbage Collection,Indra Nagar,High,Resolved,2025-04-30,2025-05-13,13.0
CMPL-19783,Road Construction,Mohaddipur,High,Resolved,2025-07-05,2025-08-11,37.0
CMPL-19784,Street Light,Basharatpur,Low,In-Progress,2024-12-06,,
CMPL-19785,Street Light,Mohaddipur,Low,Resolved,2024-06-08,2024-06-11,3.0
CMPL-19786,Road Construction,Mohaddipur,Medium,Resolved,2024-10-29,2024-12-06,38.0
CMPL-19787,Road Construction,Golghar,Low,Resolved,2026-04-03,2026-06-15,73.0
CMPL-19788,Water Supply,Civil Lines,Medium,Pending,2025-01-02,,
CMPL-19789,Road Construction,Basharatpur,Medium,Resolved,2024-11-02,2025-01-25,84.0
CMPL-19790,Street Light,Indra Nagar,Low,In-Progress,2025-02-11,,
CMPL-19791,Garbage Collection,Basharatpur,Low,In-Progress,2026-03-22,,
CMPL-19792,Sewerage,Basharatpur,Medium,Pending,2026-04-20,,
CMPL-19793,Road Construction,Golghar,Low,In-Progress,2025-02-11,,
CMPL-19794,Garbage Collection,Golghar,Medium,Pending,2025-04-09,,
CMPL-19795,Street Light,Indra Nagar,High,In-Progress,2024-11-08,,
CMPL-19796,Water Supply,Indra Nagar,Low,Pending,2025-01-29,,
CMPL-19797,Road Construction,Basharatpur,High,Resolved,2024-07-22,2024-08-31,40.0
CMPL-19798,Street Light,Basharatpur,High,In-Progress,2025-03-05,,
CMPL-19799,Street Light,Mohaddipur,High,Pending,2025-07-12,,
CMPL-19800,Road Construction,Indra Nagar,Low,Resolved,2025-04-27,2025-08-20,115.0
CMPL-19801,Sewerage,Civil Lines,High,Resolved,2025-04-05,2025-05-06,31.0
CMPL-19802,Road Construction,Civil Lines,Low,Resolved,2025-11-02,2026-03-03,121.0
CMPL-19803,Garbage Collection,Basharatpur,Medium,In-Progress,2024-08-22,,
CMPL-19804,Road Construction,Basharatpur,Low,Pending,2026-03-27,,
CMPL-19805,Road Construction,Indra Nagar,Low,Resolved,2024-05-06,2024-07-07,62.0
CMPL-19806,Street Light,Indra Nagar,High,In-Progress,2025-01-01,,
CMPL-19807,Road Construction,Indra Nagar,High,In-Progress,2024-12-25,,
CMPL-19808,Street Light,Civil Lines,Medium,In-Progress,2025-03-30,,
CMPL-19809,Street Light,Golghar,Low,Resolved,2025-01-17,2025-01-18,1.0
CMPL-19810,Road Construction,Indra Nagar,Medium,Pending,2026-02-26,,
CMPL-19811,Water Supply,Mohaddipur,Low,Resolved,2024-04-28,2024-06-21,54.0
CMPL-19812,Street Light,Mohaddipur,High,In-Progress,2024-11-23,,
CMPL-19813,Garbage Collection,Mohaddipur,High,Pending,2025-08-21,,
CMPL-19814,Water Supply,Indra Nagar,Medium,Pending,2024-10-10,,
CMPL-19815,Street Light,Mohaddipur,Low,Resolved,2025-02-14,2025-03-01,15.0
CMPL-19816,Garbage Collection,Civil Lines,High,Resolved,2024-09-18,2024-10-01,13.0
CMPL-19817,Sewerage,Indra Nagar,Low,Resolved,2025-10-01,2025-11-24,54.0
CMPL-19818,Sewerage,Basharatpur,Medium,In-Progress,2026-03-17,,
CMPL-19819,Water Supply,Golghar,Low,Resolved,2025-01-19,2025-01-27,8.0
CMPL-19820,Street Light,Civil Lines,High,Resolved,2025-05-24,2025-06-05,12.0
CMPL-19821,Street Light,Indra Nagar,Medium,Pending,2024-12-30,,
CMPL-19822,Sewerage,Indra Nagar,Low,Pending,2025-08-01,,
CMPL-19823,Water Supply,Mohaddipur,Medium,In-Progress,2025-08-13,,
CMPL-19824,Garbage Collection,Basharatpur,Medium,In-Progress,2024-10-10,,
CMPL-19825,Water Supply,Civil Lines,Medium,In-Progress,2025-10-08,,
CMPL-19826,Sewerage,Golghar,High,Resolved,2025-12-11,2026-01-07,27.0
CMPL-19827,Garbage Collection,Mohaddipur,Medium,Resolved,2024-11-12,2025-01-06,55.0
CMPL-19828,Sewerage,Indra Nagar,Medium,Resolved,2024-09-16,2024-09-27,11.0
CMPL-19829,Water Supply,Basharatpur,High,In-Progress,2025-08-12,,
CMPL-19830,Street Light,Mohaddipur,High,In-Progress,2025-01-31,,
CMPL-19831,Road Construction,Golghar,Low,Pending,2024-12-17,,
CMPL-19832,Sewerage,Mohaddipur,Medium,In-Progress,2024-07-31,,
CMPL-19833,Water Supply,Basharatpur,Low,Resolved,2025-12-02,2026-01-08,37.0
CMPL-19834,Garbage Collection,Mohaddipur,Medium,In-Progress,2024-07-02,,
CMPL-19835,Sewerage,Golghar,High,Pending,2026-01-13,,
CMPL-19836,Garbage Collection,Indra Nagar,Medium,In-Progress,2026-02-22,,
CMPL-19837,Road Construction,Golghar,Medium,Resolved,2025-06-14,2025-10-01,109.0
CMPL-19838,Sewerage,Golghar,High,Pending,2025-10-06,,
CMPL-19839,Sewerage,Mohaddipur,Medium,Resolved,2026-02-27,2026-03-11,12.0
CMPL-19840,Road Construction,Civil Lines,Medium,Resolved,2026-03-04,2026-06-16,104.0
CMPL-19841,Sewerage,Golghar,Low,Pending,2025-12-23,,
CMPL-19842,Garbage Collection,Civil Lines,High,Resolved,2025-10-21,2025-11-13,23.0
CMPL-19843,Water Supply,Mohaddipur,Low,In-Progress,2024-08-27,,
CMPL-19844,Water Supply,Indra Nagar,Low,In-Progress,2024-12-25,,
CMPL-19845,Garbage Collection,Mohaddipur,Low,In-Progress,2025-11-03,,
CMPL-19846,Sewerage,Mohaddipur,Low,Pending,2025-01-30,,
CMPL-19847,Street Light,Basharatpur,High,Resolved,2024-04-25,2024-05-07,12.0
CMPL-19848,Garbage Collection,Basharatpur,Medium,Resolved,2025-01-28,2025-02-03,6.0
CMPL-19849,Water Supply,Indra Nagar,Low,Resolved,2025-12-24,2026-01-05,12.0
CMPL-19850,Garbage Collection,Civil Lines,Low,Resolved,2024-11-17,2024-11-27,10.0
CMPL-19851,Street Light,Basharatpur,Low,Resolved,2025-06-06,2025-06-10,4.0
CMPL-19852,Sewerage,Indra Nagar,High,Resolved,2025-03-03,2025-03-21,18.0
CMPL-19853,Garbage Collection,Civil Lines,Medium,Pending,2025-06-13,,
CMPL-19854,Road Construction,Indra Nagar,High,Resolved,2024-08-23,2024-12-03,102.0
CMPL-19855,Garbage Collection,Indra Nagar,Low,Pending,2025-08-19,,
CMPL-19856,Road Construction,Civil Lines,Low,Resolved,2025-10-25,2025-12-13,49.0
CMPL-19857,Water Supply,Indra Nagar,High,Pending,2026-01-28,,
CMPL-19858,Sewerage,Mohaddipur,High,Resolved,2024-11-22,2024-12-20,28.0
CMPL-19859,Sewerage,Basharatpur,Low,Resolved,2024-09-15,2024-09-24,9.0
CMPL-19860,Sewerage,Basharatpur,High,Resolved,2025-03-13,2025-03-22,9.0
CMPL-19861,Water Supply,Civil Lines,Low,Resolved,2025-06-08,2025-07-16,38.0
CMPL-19862,Road Construction,Basharatpur,Medium,In-Progress,2025-10-26,,
CMPL-19863,Water Supply,Basharatpur,High,Resolved,2025-03-06,2025-03-17,11.0
CMPL-19864,Garbage Collection,Golghar,Medium,Pending,2025-05-15,,
CMPL-19865,Garbage Collection,Mohaddipur,High,Pending,2025-04-29,,
CMPL-19866,Sewerage,Mohaddipur,High,Resolved,2024-09-04,2024-09-09,5.0
CMPL-19867,Street Light,Mohaddipur,Medium,Pending,2025-12-01,,
CMPL-19868,Garbage Collection,Basharatpur,High,In-Progress,2025-08-13,,
CMPL-19869,Street Light,Golghar,Low,Resolved,2025-02-02,2025-02-06,4.0
CMPL-19870,Garbage Collection,Basharatpur,Low,Resolved,2024-09-25,2024-11-23,59.0
CMPL-19871,Water Supply,Basharatpur,Medium,Resolved,2024-07-21,2024-08-06,16.0
CMPL-19872,Garbage Collection,Mohaddipur,High,Pending,2026-03-16,,
CMPL-19873,Street Light,Golghar,Medium,Resolved,2025-10-06,2025-10-20,14.0
CMPL-19874,Garbage Collection,Indra Nagar,High,In-Progress,2024-10-20,,
CMPL-19875,Street Light,Civil Lines,High,Pending,2025-03-17,,
CMPL-19876,Street Light,Mohaddipur,Medium,Pending,2024-10-22,,
CMPL-19877,Street Light,Civil Lines,High,Resolved,2025-07-03,2025-07-07,4.0
CMPL-19878,Road Construction,Golghar,High,Resolved,2024-07-04,2024-09-29,87.0
CMPL-19879,Sewerage,Civil Lines,Medium,In-Progress,2026-04-15,,
CMPL-19880,Water Supply,Basharatpur,Medium,Pending,2024-07-13,,
CMPL-19881,Garbage Collection,Basharatpur,Medium,In-Progress,2025-06-09,,
CMPL-19882,Road Construction,Mohaddipur,High,In-Progress,2024-12-06,,
CMPL-19883,Sewerage,Golghar,Low,In-Progress,2025-03-14,,
CMPL-19884,Water Supply,Basharatpur,High,Pending,2024-12-21,,
CMPL-19885,Garbage Collection,Golghar,Low,Pending,2025-12-07,,
CMPL-19886,Sewerage,Golghar,Low,In-Progress,2025-09-14,,
CMPL-19887,Water Supply,Basharatpur,High,Resolved,2025-06-17,2025-08-01,45.0
CMPL-19888,Garbage Collection,Mohaddipur,Medium,Resolved,2025-09-27,2025-10-18,21.0
CMPL-19889,Road Construction,Golghar,Medium,Pending,2024-10-23,,
CMPL-19890,Road Construction,Civil Lines,Low,Pending,2024-06-17,,
CMPL-19891,Garbage Collection,Golghar,High,Pending,2026-04-02,,
CMPL-19892,Road Construction,Indra Nagar,High,Pending,2024-08-21,,
CMPL-19893,Water Supply,Basharatpur,High,Resolved,2025-06-29,2025-07-22,23.0
CMPL-19894,Sewerage,Golghar,High,In-Progress,2026-04-19,,
CMPL-19895,Road Construction,Golghar,Medium,Pending,2024-07-02,,
CMPL-19896,Garbage Collection,Civil Lines,High,Resolved,2025-01-05,2025-01-30,25.0
CMPL-19897,Water Supply,Civil Lines,Medium,Pending,2025-06-07,,
CMPL-19898,Street Light,Golghar,High,In-Progress,2025-10-20,,
CMPL-19899,Street Light,Basharatpur,Medium,Resolved,2026-01-31,2026-02-03,3.0
CMPL-19900,Garbage Collection,Indra Nagar,High,Resolved,2024-11-04,2024-11-20,16.0
CMPL-19901,Street Light,Indra Nagar,Medium,Resolved,2025-05-26,2025-06-07,12.0
CMPL-19902,Garbage Collection,Golghar,Medium,In-Progress,2024-12-25,,
